carat,cut,color,clarity,depth,table,x,y,z,price
0.59,Ideal,E,VS2,62.1,55.0,5.4,5.42,3.36,1875
0.33,Premium,F,VS2,60.1,58.0,4.47,4.45,2.68,854
0.52,Ideal,G,SI2,61.3,56.0,5.19,5.22,3.19,1150
0.54,Ideal,E,VS2,61.4,57.0,5.25,5.21,3.21,1847
1.5,Ideal,I,SI1,64.2,59.0,7.13,7.1,4.57,8736
0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,4137
0.52,Ideal,D,VS1,60.9,56.0,5.21,5.17,3.16,1835
0.56,Ideal,F,VS1,61.7,56.0,5.33,5.3,3.28,2016
1.24,Premium,F,VS2,62.2,58.0,6.89,6.84,4.27,9411
1.06,Ideal,D,SI1,62.7,54.0,6.55,6.52,4.1,6055
0.3,Ideal,G,SI1,61.6,57.0,4.29,4.34,2.66,432
2.03,Premium,G,VS2,59.6,60.0,8.27,8.21,4.91,18680
0.35,Premium,E,SI1,59.7,60.0,4.58,4.53,2.72,788
1.06,Good,G,VS2,63.1,59.0,6.45,6.48,4.08,6212
0.59,Premium,D,SI1,62.8,57.0,5.38,5.32,3.36,1835
0.39,Ideal,E,VVS2,61.6,56.0,4.69,4.73,2.9,1300
1.0,Ideal,D,SI1,62.7,57.0,6.34,6.38,3.99,6073
1.32,Ideal,I,VVS1,61.0,56.0,7.09,7.07,4.32,8501
0.78,Very Good,E,VS2,61.7,58.0,5.9,5.93,3.65,3334
1.12,Ideal,H,SI1,62.7,56.0,6.66,6.61,4.16,4290
1.23,Very Good,H,VS2,61.6,59.0,6.84,6.86,4.22,6459
0.9,Ideal,F,SI1,61.7,55.0,6.19,6.16,3.81,4269
0.33,Ideal,D,VS2,62.5,56.0,4.46,4.43,2.78,1002
0.4,Very Good,F,VVS2,63.0,57.0,4.63,4.7,2.94,963
0.31,Ideal,F,VVS1,61.9,55.0,4.42,4.37,2.72,1028
0.7,Fair,G,SI2,58.6,56.0,5.8,5.74,3.38,2208
0.9,Very Good,J,SI2,63.3,59.0,6.08,6.12,3.86,2973
0.32,Ideal,G,SI1,61.4,55.0,4.4,4.46,2.72,461
1.02,Good,E,VS1,63.9,56.0,6.33,6.38,4.06,7602
0.31,Very Good,H,VS1,61.7,61.0,4.31,4.34,2.67,544
0.73,Ideal,H,SI1,62.6,57.0,5.66,5.74,3.57,2320
0.73,Premium,G,I1,62.5,58.0,5.82,5.74,3.61,1395
0.71,Fair,F,SI2,60.1,68.0,5.8,5.72,3.46,2327
1.19,Premium,I,SI2,62.6,58.0,6.82,6.69,4.23,4498
0.31,Premium,G,IF,61.4,59.0,4.34,4.39,2.68,924
0.7,Very Good,I,SI2,60.9,59.0,5.7,5.76,3.49,1603
1.2,Premium,H,VS2,62.4,57.0,6.73,6.67,4.18,6048
0.96,Fair,F,SI2,65.2,58.0,6.14,6.12,3.99,3688
1.16,Very Good,I,SI1,62.9,58.0,6.64,6.69,4.19,4586
1.01,Ideal,E,VVS2,60.0,55.0,6.56,6.6,3.95,9310
0.41,Premium,E,SI1,61.0,59.0,4.78,4.82,2.93,755
0.8,Ideal,D,SI1,62.7,57.0,5.88,5.92,3.7,3564
0.33,Very Good,H,SI2,63.5,57.0,4.39,4.36,2.78,534
0.31,Very Good,G,VS1,63.2,57.0,4.33,4.28,2.72,802
0.71,Ideal,I,SI1,62.1,55.0,5.67,5.73,3.55,2319
1.55,Very Good,D,SI2,58.9,57.0,7.59,7.63,4.48,11284
0.57,Premium,F,VS1,59.9,59.0,5.35,5.4,3.22,1689
2.01,Premium,G,SI2,62.3,60.0,8.04,7.97,4.99,15147
0.43,Ideal,H,SI1,61.5,57.0,4.88,4.84,2.99,1045
0.31,Very Good,H,VS1,61.5,61.0,4.31,4.34,2.66,544
0.7,Very Good,J,SI1,61.7,57.0,5.65,5.69,3.5,1979
1.51,Very Good,H,VS2,62.3,61.0,7.27,7.3,4.54,9821
1.04,Very Good,F,SI1,59.7,59.0,6.67,6.56,3.95,5152
1.14,Good,G,SI2,63.7,60.0,6.69,6.6,4.24,4233
0.31,Ideal,D,VS2,62.1,56.0,4.34,4.35,2.7,734
0.71,Ideal,D,SI2,,57.0,5.77,5.83,3.49,2262
1.34,Very Good,H,VVS2,59.7,60.0,7.19,7.22,4.3,9735
1.22,Premium,I,VS2,62.3,59.0,6.79,6.83,4.24,5832
0.5,Ideal,I,VVS1,61.6,56.0,5.1,5.13,3.15,1747
0.77,Very Good,D,SI1,58.6,59.0,6.0,6.04,3.53,3160
0.7,Ideal,G,VS1,60.6,57.0,5.73,5.79,3.5,3384
0.52,Premium,D,VS2,62.8,58.0,5.14,5.11,3.22,1842
0.71,Ideal,G,SI2,59.5,57.0,5.86,5.78,3.46,2194
0.3,Very Good,G,SI1,62.6,57.0,4.25,4.34,2.69,447
0.31,Ideal,F,VS2,61.9,55.0,4.31,4.35,2.68,625
